day,min,mean,max
1,-1.399292,-0.2483902,1.0162659
2,-1.2346497,-0.52651596,0.60183716
3,-1.2802429,-0.34848404,0.58706665
4,-0.9763489,-0.16369629,0.69189453
5,-1.0985718,-0.15123749,1.0121765
6,-1.254364,-0.4326973,0.60232544
7,-1.0171509,-0.15429306,0.82699585
8,-0.14724731,0.5834732,1.1148376
9,0.2901001,0.9061165,1.5740662
10,0.29803467,0.7509041,1.394165
11,-0.3144226,0.40559387,0.9649353
12,-0.4414978,0.3536682,1.2136536
13,-0.47418213,0.73298264,1.9565735
14,-0.4638977,0.96025085,2.4509888
15,-0.48013306,0.91947937,2.6675415
16,-0.7977905,0.66300964,2.4084167
17,-1.3738708,0.12565231,1.9200745
18,-1.3368225,0.013214111,1.6236572
19,-1.0122681,0.33444595,1.6478577
20,-0.9659729,0.39328766,2.1088867
21,-0.45593262,0.42575073,1.7178345
22,-0.49920654,0.5528679,1.8858948
23,-0.4507141,0.4792137,1.7610779
24,-0.71017456,0.1784401,1.1046753
25,-0.64212036,0.38196564,1.3861389
26,-1.186615,0.39221573,1.9854431
27,-1.2045288,0.17531967,1.8232727
28,-1.2487793,0.05752945,1.6293335
29,-1.1466064,0.104003906,1.5155945
30,-1.1454773,0.217762,1.9094543
31,-1.5126038,0.18822098,1.9616699
32,-1.3823853,0.29166412,2.2211914
33,-1.4182129,0.268898,2.1680908
34,-1.1419678,0.14060593,1.6809387
35,-1.3561401,-0.20136642,1.148407
36,-1.081604,-0.15981674,0.9114685
37,-0.8354492,-0.23443604,0.6524658
38,-1.3819885,-0.4745865,0.58032227
39,-1.2016296,-0.38981628,0.58999634
40,-1.0519104,-0.22589874,0.54678345
41,-1.9034424,-0.2403984,1.2511597
42,-1.6369629,-0.078071594,1.5
43,-2.5903625,-0.3617363,1.696228
44,-2.0879517,-0.31055832,1.7101135
45,-1.6326294,-0.08709717,1.7243958
46,-1.0097961,0.10488129,1.6094055
47,-1.2780762,-0.2002182,1.0457458
48,-1.150238,-0.16640854,0.7418823
49,-1.4887695,-0.044662476,1.2141418
50,-1.4154663,0.089164734,1.7210999
51,-1.5468445,-0.15341568,1.6698608
52,-1.2261353,-0.13128662,1.2138062
53,-1.0252686,0.12193298,1.3157654
54,-0.4564209,0.30119705,1.3265076
55,-1.370636,0.33693695,1.5697327
56,-0.98831177,0.32837677,1.8284912
57,-0.87680054,0.28104782,1.8153381
58,-1.104187,0.21785355,1.5569153
59,-0.7112732,0.44612122,1.4632263
60,-0.65649414,0.6244507,1.7266235
61,-0.7270813,0.497406,1.8560791
62,-1.1764221,0.36146927,1.9576111
63,-1.3932495,0.34331894,2.075531
64,-1.154419,0.38601685,2.207306
65,-0.6279297,0.6532707,2.0267944
66,-0.5184021,0.71643066,1.8902893
67,-0.60668945,0.99061584,2.344452
68,-0.5723877,1.3761253,3.0398865
69,-0.064086914,1.6375351,3.498413
70,0.33551025,1.7436142,3.1233215
71,0.75408936,1.8713875,3.352539
72,0.6227722,1.7570724,3.0500793
73,0.43655396,1.8209381,3.0639648
74,0.87716675,1.9596367,3.0137024
75,0.8210144,2.1995735,3.4276733
76,0.9060974,2.335781,3.7651978
77,0.7583618,2.2159538,3.5934143
78,0.57702637,2.1705284,3.5578918
79,0.788147,2.1144028,3.2196655
80,0.82037354,2.2114983,3.410797
81,0.5120239,2.3300629,3.8583984
82,0.16983032,2.3906212,4.514679
83,0.18609619,2.6152725,4.7465515
84,0.35302734,2.6749992,4.985382
85,0.2584839,2.6962624,4.9140015
86,1.0257263,3.0251503,4.91156
87,1.5023193,3.3714256,5.14917
88,1.9202881,3.8117561,5.5742188
89,2.3059692,4.0177994,5.780304
90,1.989624,3.9547615,5.882843
91,1.9621277,3.6585922,5.464386
92,2.137024,3.5758705,5.076294
93,2.3283691,3.7434845,4.952606
94,2.2311401,3.840763,5.073456
95,2.52005,4.1071777,5.5200195
96,2.8418274,4.4766006,5.81839
97,3.1733704,4.8612022,6.205658
98,3.1753235,4.887474,6.447937
99,3.108429,4.8997574,6.3262634
100,3.252655,5.0138474,6.5117188
101,3.575531,5.070755,6.337311
102,3.547058,4.9751053,6.306244
103,3.5896912,5.0920067,6.2024536
104,3.748291,5.13533,6.5430603
105,3.4961853,4.9165993,6.3938293
106,3.3890991,4.890972,6.277893
107,3.433319,5.0247726,6.4864807
108,3.3703003,5.212963,6.9223022
109,3.0944824,5.1736336,7.1513367
110,3.437317,5.4623947,7.4880676
111,3.8379211,5.879162,7.86261
112,4.026642,6.2617683,8.245728
113,4.5262756,6.518757,8.432648
114,4.7218323,6.6142006,8.241943
115,4.9216614,6.6316795,8.194824
116,5.270294,6.8564377,8.406921
117,5.051697,6.9231377,8.430664
118,5.6385193,7.042465,8.220856
119,6.0269165,7.4454994,8.745728
120,6.038727,7.7174454,9.244293
121,6.0507507,7.837574,9.40921
122,5.953247,7.8141174,9.722046
123,5.775421,7.843979,9.81311
124,5.849823,7.9213257,10.137695
125,6.2447815,8.00861,10.032593
126,6.789276,8.318405,9.946716
127,6.820984,8.561256,10.233246
128,7.1224976,8.81794,10.3585205
129,7.2690125,9.024689,10.599304
130,7.174347,9.222221,10.97699
131,7.416931,9.390579,11.254669
132,7.846527,9.471573,11.090271
133,8.081177,9.669918,11.210205
134,8.472107,9.923698,11.240295
135,8.567261,9.963936,11.353546
136,9.077209,10.240536,11.375702
137,9.305908,10.486721,11.5998535
138,9.066223,10.609695,11.794739
139,9.291931,10.699406,12.05014
140,9.329163,10.820122,12.11261
141,9.393799,10.928104,12.232788
142,9.496124,11.010189,12.302826
143,9.6171875,11.292126,12.729401
144,9.876465,11.448055,12.739624
145,10.249359,11.664452,12.8263855
146,10.518402,11.910229,13.082916
147,10.653351,12.100391,13.262024
148,10.851105,12.311287,13.750427
149,10.986176,12.414612,13.979614
150,11.010925,12.386482,13.835724
151,11.259613,12.5093155,13.672089
152,11.234161,12.563141,13.94162
153,11.156769,12.505627,13.817963
154,11.063507,12.482815,13.727783
155,11.423401,12.821438,14.183594
156,11.841034,13.030819,14.188416
157,11.851807,13.206577,14.262878
158,11.961945,13.364166,14.545532
159,12.081696,13.401573,14.793152
160,12.197418,13.546684,14.974731
161,12.689545,13.838497,15.11554
162,12.594849,13.923901,15.047699
163,12.824005,14.160839,15.396149
164,12.959076,14.25415,15.598297
165,12.986816,14.298729,15.602234
166,12.959106,14.35984,15.802338
167,13.424896,14.710888,15.892517
168,13.575836,14.793213,16.068268
169,13.354858,14.70845,15.90448
170,13.481842,14.631741,15.871429
171,13.726074,14.859184,15.971558
172,14.0156555,15.125427,16.235687
173,14.075043,15.204498,16.473206
174,14.450806,15.414291,16.428558
